  14  27
  10  36.500   0.98   0.98   0.99   0.98   0.98   0.98   0.99   0.98   0.98   0.98   0.99   0.99   0.98   0.98   0.99   0.98   0.99   1.00   0.99   0.99   0.99   0.98   0.99   0.97   0.97   0.97   0.97
  11  36.500   0.94   0.95   0.95   0.95   0.95   0.95   0.96   0.95   0.96   0.96   0.96   0.96   0.95   0.96   0.96   0.95   0.96   0.97   0.97   0.95   0.95   0.95   0.96   0.95   0.95   0.95   0.95
  12  89.000   1.01   1.01   1.01   1.01   1.01   1.01   1.02   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.02   1.02   1.02   1.02   1.02   1.03   1.02   1.01   1.01   1.01   1.00   1.00   1.00
  13  89.000   1.01   1.01   1.01   1.02   1.01   1.01   1.02   1.01   1.01   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.01   1.02   1.02
   0   6.925  15.47  14.48  13.90  12.96  13.19  13.34  12.29  13.96  12.49  12.89  10.91  12.84   9.68  11.79   7.97  10.56   5.25   9.59   7.49   7.23   9.47   7.31   5.35   8.42   9.03  14.42  16.80
   1   6.925  32.65  33.07  32.89  33.13  33.05  32.83  31.53  30.59  30.51  30.57  30.09  29.39  29.34  29.68  29.52  31.59  37.14  41.63  34.93  28.76  27.80  28.30  27.70  27.58  28.53  30.04  30.55
   2   7.300  17.34  16.38  14.79  14.61  14.70  14.12  12.93  15.60  13.66  13.63  11.81  13.47  10.98  13.57   9.79  12.24   6.32  10.17   8.63   7.70  10.62   8.70   6.51  10.62  11.22  17.16  20.36
   3   7.300  32.63  32.91  32.76  32.71  32.60  32.29  31.00  29.83  30.46  30.23  29.49  29.39  28.68  28.81  28.90  30.45  35.28  39.39  33.38  28.23  27.46  28.28  27.17  27.57  28.27  29.78  29.88
   4  10.650  19.17  18.55  17.76  20.37  19.33  16.93  15.44  17.75  18.34  18.13  15.76  17.60  16.08  18.97  16.52  15.25  12.67  12.50  15.68  14.47  13.83  14.88  12.61  14.30  16.85  19.78  22.01
   5  10.650  29.03  28.83  28.69  29.07  28.58  28.70  26.87  26.02  26.59  27.18  26.40  26.17  25.79  24.92  25.93  25.60  25.43  27.00  25.16  24.79  24.15  24.86  24.15  25.25  25.60  25.99  26.52
   6  18.700  -8.00  -7.76  -9.11  -8.50  -8.92  -8.18  -7.94  -7.41  -5.80  -6.68  -6.88  -7.77  -6.89  -4.82  -6.55  -7.44  -8.88 -10.35  -9.00  -8.42  -8.59  -7.96  -9.32  -7.76  -7.76  -7.73  -6.75
   7  18.700  -2.22  -2.64  -2.67  -2.76  -3.26  -3.48  -3.13  -2.88  -3.11  -3.01  -3.28  -3.76  -3.10  -2.75  -3.40  -3.26  -4.12  -5.49  -4.47  -3.19  -3.14  -2.96  -3.70  -2.90  -3.81  -3.30  -3.55
