  24  30
  18  63.283  -8.13  -7.77  -7.47  -7.84  -7.35  -7.13  -6.82  -6.48  -6.76  -6.66  -6.88  -6.63  -6.66  -6.88  -7.19  -7.15  -7.01  -7.13  -7.44  -7.91  -7.46  -7.95  -8.76  -8.31  -8.51  -8.73  -8.74  -9.47  -9.14  -9.58
  19  60.793 -12.31 -11.32 -11.57 -10.95 -10.57 -10.34 -10.60  -9.55  -9.61  -9.48  -8.86  -8.97  -8.75  -8.92  -8.90  -9.18  -8.80  -9.42 -10.18  -9.87 -10.20 -10.00 -10.63 -10.86 -11.11 -11.17 -11.63 -11.59 -11.58 -11.67
  20  60.793  -7.84  -7.70  -7.93  -7.79  -8.06  -7.81  -7.83  -7.99  -8.06  -7.96  -7.84  -7.91  -7.87  -7.77  -7.87  -8.00  -7.88  -7.86  -7.74  -7.60  -7.64  -7.69  -7.51  -7.55  -7.51  -7.49  -7.57  -7.30  -7.38  -7.21
  21  60.793  -3.83  -4.03  -4.05  -4.15  -4.10  -4.22  -4.19  -4.27  -4.24  -4.27  -4.25  -4.25  -4.29  -4.37  -4.37  -4.38  -4.20  -4.23  -4.24  -4.23  -4.20  -4.11  -4.18  -3.98  -4.11  -4.11  -4.01  -4.01  -3.93  -3.77
  22  60.793  -3.08  -3.02  -3.11  -3.15  -3.14  -3.13  -3.11  -3.19  -3.22  -3.34  -3.20  -3.24  -3.28  -3.28  -3.31  -3.27  -3.29  -3.27  -3.29  -3.25  -3.23  -3.19  -3.18  -3.17  -3.13  -3.16  -3.04  -3.08  -3.05  -3.12
  23  60.793  -2.68  -2.72  -2.76  -2.88  -2.78  -2.91  -2.93  -3.02  -2.98  -3.03  -2.96  -3.07  -3.09  -3.10  -3.04  -3.07  -3.03  -3.07  -3.09  -2.81  -2.65  -2.55  -2.64  -2.51  -2.61  -2.44  -2.46  -2.39  -2.31  -2.36
   0  50.300   0.94   0.94   0.94   0.93   0.93   0.93   0.93   0.94   0.93   0.94   0.94   0.94   0.94   0.94   0.94   0.93   0.94   0.94   0.94   0.93   0.93   0.94   0.94   0.94   0.94   0.94   0.94   0.94   0.94   0.94
   1  52.800   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02
   2  53.596   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.01   1.01   1.01   1.01   1.01   1.01   1.01   1.02   1.02   1.02   1.02   1.02   1.02   1.01   1.01   1.01
   3  54.400   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.01   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.02   1.01   1.01   1.01   1.01   1.01   1.01   1.00   1.00
